idx,idy,ntdiff,carcass.x,geog.x,Cluster.x,sample.type.x,day.x,month.x,year.x,species.x,GPS.determined.from.map.x,lat.x,long.x,ward.x,village.x,subvillage.x,Status.x,Misidentification.x,Unexpected.genome.Size.x,Median.insert.size.x,Mean.coverage.x,Number.of.reads.x,X..contigs...0.bp.x,X..contigs...1000.bp.x,Total.length....0.bp..x,Total.length....1000.bp..x,X..contigs.x,largest.contig.x,total.length.x,GC...MicrobesNG..x,GC...Qualimap..x,N50.x,N57.x,Number.of.reads.1.x,mapped.reads.x,percentage.mapped.reads.x,duplicated.reads.x,duplication.rate.x,mean.coverage.x,carcass.y,geog.y,Cluster.y,sample.type.y,day.y,month.y,year.y,species.y,GPS.determined.from.map.y,lat.y,long.y,ward.y,village.y,subvillage.y,Status.y,Misidentification.y,Unexpected.genome.Size.y,Median.insert.size.y,Mean.coverage.y,Number.of.reads.y,X..contigs...0.bp.y,X..contigs...1000.bp.y,Total.length....0.bp..y,Total.length....1000.bp..y,X..contigs.y,largest.contig.y,total.length.y,GC...MicrobesNG..y,GC...Qualimap..y,N50.y,N57.y,Number.of.reads.1.y,mapped.reads.y,percentage.mapped.reads.y,duplicated.reads.y,duplication.rate.y,mean.coverage.y
AN16-110_S,AN16-80_D,33,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-80,Central,C1,soil,10,5,2016,sheep,yes,-2.994935,35.095446,Endulen,NA,"Olduvai-Mazingira, Magumu",contamination?,NA,9.43005,147,74,2610407,3962,1562,9791414,8322021,3123,1770253,9430050,46.95,36.79%,204761,1786,"4,911,523","4,250,478",86.54%,"2,570,058",57.20%,113.3
AN16-110_S,AN16-83_T2,27,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-83,Central,Single case,tissue,20,8,2016,sheep,yes,NA,NA,Njoroiolisilondo,NA,NA,contamination?,Clostridium sensu stricto 1/Bacillus,NA,158,145.9,2798798,79,27,5475780,5452963,39,1770337,5461139,35.12,37.91%,768031,263193,"5,334,456","4,851,493",90.95%,"3,101,483",57.43%,132.7
AN16-110_S,AN16-06_B,21,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-06,Central,Single case,blood,29,4,2017,sheep,yes,-3.067391,35.229781,Endulen,Nasiporiong,Ngoyapase; Endonyo Ekule area,NA,NA,NA,159,154.6,2904909,88,27,5466908,5448254,34,1161515,5453369,35.11,36.79%,899963,263235,"5,212,397","4,591,614",88.09%,"2,870,701",56.31%,127.6
AN16-110_S,AN16-14_S2,24,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-14,Central,C2,swab,16,9,2016,cow,yes,-3.038225,35.01837,Endulen,Esinoni,Loongurioto (Olduvai gorge); temporary bomas (Ronjo),NA,NA,NA,343,103.7,1603679,1602,29,6147172,5457079,166,1770163,5540956,35.29,36.97%,1161516,240050,"3,004,618","2,688,798",89.49%,"1,259,862",41.07%,102.7
AN16-110_S,AN16-128_D1,20,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-128,Central,Single case,soil,19,8,2016,sheep,yes,-2.99792,35.084373,Endulen,Nasiporiong,Ngoyapase,NA,NA,NA,190,32.6,571234,58,41,5457204,5450431,46,1019260,5453901,35.12,37.25%,267313,167273,"1,097,715","957,831",87.26%,"392,203",40.89%,28.4
AN16-110_S,AN16-83_B,34,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-83,Central,Single case,blood,20,8,2016,sheep,yes,NA,NA,Njoroiolisilondo,NA,NA,NA,NA,NA,195,38.9,675575,76,32,5461861,5448682,38,936774,5453119,35.11,36.65%,565366,240025,"1,307,030","1,071,353",81.97%,"446,866",40.89%,32
AN16-110_S,AN16-110_D2,0,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-110,Central,Single case,soil,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Paenibacillus/Bacillus,10.0035,83,26.2,1460029,4960,2478,10382764,8878058,4076,50421,10003501,43.23,38.21%,4451,1823,"2,793,229","1,857,417",66.50%,"1,113,561",75.75%,33.2
AN16-110_S,AN16-169_S,32,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-169,East,Single case,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN16-110_S,AN17-01-A_T,22,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN17-01,Central,Single case,tissue,30,4,2017,goat,yes,-3.096573,35.149872,Endulen,Nasiporiong,Ngoyapase; eneo ya Irkeek Losir/Kiloki,slightly higher contig numbers,NA,NA,78,48.2,1423904,503,387,5394562,5332207,440,83093,5370143,35.17,37.93%,27666,13078,"2,566,241","2,319,026",90.37%,"1,481,113",82.78%,39.7
AN16-110_S,AN16-165_S,28,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-165,North,Single case,swab,26,1,2017,sheep,NA,-2.55268,35.11628,Ngoile,Ngolola,NA,NA,NA,NA,170,124.4,2387391,490,28,5666206,5452487,149,1769270,5524821,35.46,36.28%,1161828,239943,"4,436,371","3,901,046",87.93%,"2,220,830",52.70%,111.8
AN16-110_S,AN16-23_D3,0,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-23,Central,C2,soil,16,9,2016,cow,yes,-3.038225,35.01837,Endulen,Esinoni,Loongumot (Olduvai gorge),NA,NA,NA,205,52.3,907730,103,51,5470382,5446927,67,1097079,5457047,35.14,37.49%,247414,96871,"1,743,037","1,598,967",91.73%,"737,382",42.60%,48.1
AN16-110_S,AN17-18_I,27,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN17-18,North,Single case,insect,20,2,2017,donkey,NA,-2.65342,35.11702,Olbalbal,Meshili,Idonyo Ogol,NA,NA,NA,164,78.8,1476274,87,26,5478488,5450691,41,1770124,5460549,35.15,37.41%,1161862,263235,"2,817,772","2,585,604",91.76%,"1,377,351",51.68%,72.3
AN16-110_S,AN16-120_S1,40,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-120,East,Single case,swab,23,7,2016,sheep,NA,-2.98602,35.51238,Olbalbal,Meshili A,NA,NA,NA,NA,200,114,2017474,456,28,5528881,5448293,39,1637013,5455648,35.12,37.57%,596279,204764,"3,898,418","3,517,134",90.22%,"1,970,259",49.46%,105
AN16-110_S,LNA_D3,39,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,LNA,Central,C3,soil,7,10,2016,unknown,NA,-3.05212,35.11393,Endulen,Nasiporiong,Ngoyapase,NA,NA,NA,199,78.8,1369103,170,28,5478474,5447610,35,1770209,5453172,35.11,38.21%,407853,239943,"2,565,383","2,304,702",89.84%,"1,249,056",46.36%,69.3
AN16-110_S,FL16-06_I,7,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,FL16-06,South,Single case,insect,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,93.3,1799713,347,28,5541084,5446891,63,1105634,5467948,35.18,37.81%,596279,239768,"3,419,847","3,075,093",89.92%,"1,776,714",54.03%,84.7
AN16-110_S,AN17-38_T2,34,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN17-38,South,Single case,tissue,25,2,2017,cow,NA,-3.28117,35.00691,Kakesio,Kakesio,Ereko,NA,NA,NA,86,87.3,2400003,120,75,5458948,5443199,82,426490,5448325,35.12,38.18%,115806,68609,"4,242,285","3,712,937",87.52%,"2,544,304",81.53%,69.6
AN16-110_S,AN16-135_S,28,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-135,Central,Single case,swab,20,10,2016,sheep,NA,-3.06807,35.04067,Endulen,Nasiporiong,NA,NA,NA,NA,98,96.3,2410456,490,101,5541202,5450088,119,434563,5462221,35.11,38.13%,107998,53363,"4,213,021","3,748,547",88.98%,"2,569,362",73.36%,78.4
AN16-110_S,AN16-23_B,24,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-23,Central,C2,blood,16,9,2016,cow,yes,-3.038225,35.01837,Endulen,Esinoni,Loongumot (Olduvai gorge),NA,NA,NA,111,64.7,1481402,125,71,5471888,5452864,80,463634,5458788,35.11,37.57%,138728,67214,"2,724,133","2,304,718",84.60%,"1,399,993",66.99%,52.1
AN16-110_S,LNA-2_T1,33,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,LNA-2,Central,C3,tissue,7,10,2016,goat,NA,-3.05212,35.11393,Endulen,Nasiporiong,Ngoyapase,NA,NA,NA,359,121.2,1655147,231,28,5541738,5452810,51,1770118,5467179,35.13,36.52%,1161512,263184,"3,156,237","2,820,703",89.37%,"1,324,729",41.69%,109.2
AN16-110_S,AN16-164_S3,20,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-164,Central,Single case,swab,25,1,2017,sheep,NA,-3.03004,35.16133,Endulen,NA,"Olduvai, Kiloki",NA,NA,NA,158,86.7,1647648,97,29,5468150,5451137,36,1603318,5455860,35.13,37.30%,1180700,213350,"2,955,984","2,700,208",91.35%,"1,605,973",54.12%,74
AN16-110_S,AN16-109_D2,37,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-109,East,Single case,soil,18,7,2016,goat,NA,-3.01212,35.49434,Ngoile,NA,NA,contamination?,Clostridium sensu stricto 1/Solibacillus/Bacillus,NA,95,30.2,862222,1937,789,5891736,5278331,1310,118837,5631963,35.57,38.53%,11141,4434,"1,581,769","1,343,972",84.97%,"784,636",76.05%,27
AN16-110_S,AN16-122_T2,0,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-122,East,Single case,tissue,20,1,2017,sheep,yes,-2.934868,35.511649,Olbalbal,Meshili,"Engonini, Ngurumani",NA,NA,NA,146,151.3,2966214,66,27,5466682,5449785,35,1770241,5455207,35.12,37.95%,895192,263082,"5,507,072","5,019,329",91.14%,"3,324,631",59.90%,134.5
AN16-110_S,AN16-160_D1,34,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-160,South,C4,soil,26,11,2016,cow,NA,-3.29372,35.03663,Kakesio,Osinoni,"Orgumi, Nanadando",NA,NA,NA,163,278.6,5821303,1260,51,6092908,5480416,543,1770329,5792039,36.77,39.79%,1161868,239943,"9,945,504","8,826,590",88.75%,"6,584,584",63.86%,244.7
AN16-110_S,AN16-83_T1,27,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,AN16-83,Central,Single case,tissue,20,8,2016,sheep,yes,NA,NA,Njoroiolisilondo,NA,NA,contamination?,Clostridium sensu stricto 1/Bacillus,8.9452,137,125.2,4186298,1730,1043,9053810,8629722,1475,1769270,8945205,32.5,36.37%,238660,4834,"7,670,789","6,606,776",86.13%,"4,451,768",62.67%,171
AN16-110_S,LNA-1_T,37,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,LNA-1,Central,C3,tissue,7,10,2016,sheep,NA,-3.05212,35.11393,Endulen,Nasiporiong,Ngoyapase,contamination?,Clostridium sensu stricto 1,10.3972,108,114.3,5262821,3885,1295,10869981,9801808,2158,328424,10397193,37.11,38.48%,27263,4825,"9,303,258","7,766,452",83.48%,"5,869,133",72.41%,175.3
AN16-110_S,LNA_D1,37,AN16-110,Central,Single case,swab,30,6,2016,goat,yes,-3.110753,35.112708,Endulen,Nasiporiong,Ngoyapase; Oldupai plain,contamination?,Alkaliphilus/Bacillus ,NA,152,109.3,2142495,352,35,5579377,5462485,103,1770336,5504239,35.16,38.01%,634224,239940,"3,882,362","3,570,506",91.97%,"2,241,626",56.77%,97.4,LNA,Central,C3,soil,7,10,2016,unknown,NA,-3.05212,35.11393,Endulen,Nasiporiong,Ngoyapase,NA,NA,NA,192,34.7,623556,136,29,5495037,5448973,54,1179025,5464168,35.17,35.89%,733642,238479,"1,180,881","994,741",84.24%,"371,371",39.57%,29.2
