snp-dists 0.7.0	AN16-110_S	AN16-24_S2	AN16-77_T	AN16-14_D1	AN16-80_I2	AN16-164_S2	AN16-23_D2	AN16-128_B	AN16-135_T2	AN16-110_D3	AN16-122_S	AN16-80_D	AN16-83_T2	AN16-06_B	AN16-14_S2	AN16-128_D1	AN16-83_B	AN16-110_D2	AN16-169_S	AN17-01-A_T	AN16-165_S	AN16-23_D3	AN17-18_I	AN16-120_S1	LNA_D3	FL16-06_I	AN17-38_T2	AN16-135_S	AN16-23_B	LNA-2_T1	AN16-164_S3	AN16-109_D2	AN16-122_T2	AN16-160_D1	AN16-83_T1	LNA-1_T	LNA_D1	AN16-132_I	AN16-14_S1	AN16-24_D	AN16-135_T1	AN16-23_D1	AN16-83_D	AN16-175_T	AN16-80_I1	AN16-14_D2	FL16-03_I	AN16-149_B	AN16-88_D	AN16-164_S1	AN16-24_T	AN16-80_S	AN16-120_B	AN16-135_I	AN16-155_S	AN17-01-A_B	AN17-18_S	AN16-24_S1	LNA-2_T2	AN16-171_B	AN16-109_D1	AN16-122_T1	AN16-160_D2	FL16-11-MKK_I	AN16-132_T	AN17-20_S	AN16-120_S2	AN17-38_T1	AN16-86-1_T	AN16-155_B	AN17-01-A_S	AN16-169_T	AN16-110_D1
AN16-122_S	21	9	15	8	15	10	8	6	6	36	0	15	11	6	8	6	31	21	29	7	12	21	10	31	36	22	31	12	8	15	9	34	21	31	11	34	34	10	22	22	6	8	12	9	22	8	8	31	10	9	22	31	34	6	6	12	10	31	15	9	11	0	9	22	10	6	31	8	10	6	7	29	21
AN16-80_D	24	12	0	11	0	13	11	9	9	39	15	0	14	9	11	9	34	24	32	10	15	24	13	34	39	25	34	15	11	0	12	37	24	34	14	37	37	13	25	25	9	11	15	14	25	11	11	34	13	12	25	34	37	9	9	15	13	34	0	12	14	15	12	25	13	9	34	11	13	9	10	32	24
AN16-83_T2	20	8	14	7	14	9	7	5	5	35	11	14	0	5	7	5	30	20	28	6	11	20	9	30	35	21	30	1	7	14	8	33	20	30	0	33	33	9	21	21	5	7	1	10	21	7	7	30	9	8	21	30	33	5	5	11	9	30	14	8	0	11	8	21	9	5	30	7	9	5	6	28	20
AN16-06_B	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-14_S2	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-128_D1	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-83_B	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
AN16-110_D2	0	18	24	17	24	19	17	15	15	35	21	24	20	15	17	15	30	0	28	16	21	0	19	30	35	7	30	21	17	24	18	33	0	30	20	33	33	19	7	7	15	17	21	20	7	17	17	30	19	18	7	30	33	15	15	21	19	30	24	18	20	21	18	7	19	15	30	17	19	15	16	28	0
AN16-169_S	28	26	32	25	32	27	25	23	23	13	29	32	28	23	25	23	4	28	0	24	29	28	27	30	13	29	4	29	25	32	26	11	28	4	28	11	11	27	29	29	23	25	29	28	29	25	25	4	27	26	29	4	11	23	23	29	27	4	32	26	28	29	26	29	27	23	30	25	27	23	24	0	28
AN17-01-A_T	16	4	10	3	10	5	3	1	1	31	7	10	6	1	3	1	26	16	24	0	7	16	5	26	31	17	26	7	3	10	4	29	16	26	6	29	29	5	17	17	1	3	7	6	17	3	3	26	5	4	17	26	29	1	1	7	5	26	10	4	6	7	4	17	5	1	26	3	5	1	0	24	16
AN16-165_S	21	9	15	8	15	10	8	6	6	36	12	15	11	6	8	6	31	21	29	7	0	21	10	31	36	22	31	12	8	15	9	34	21	31	11	34	34	10	22	22	6	8	12	11	22	8	8	31	10	9	22	31	34	6	6	0	10	31	15	9	11	12	9	22	10	6	31	8	10	6	7	29	21
AN16-23_D3	0	18	24	17	24	19	17	15	15	35	21	24	20	15	17	15	30	0	28	16	21	0	19	30	35	7	30	21	17	24	18	33	0	30	20	33	33	19	7	7	15	17	21	20	7	17	17	30	19	18	7	30	33	15	15	21	19	30	24	18	20	21	18	7	19	15	30	17	19	15	16	28	0
AN17-18_I	19	7	13	2	13	4	2	4	4	34	10	13	9	4	2	4	29	19	27	5	10	19	0	29	34	20	29	10	2	13	7	32	19	29	9	32	32	8	20	20	4	2	10	9	20	2	2	29	8	7	20	29	32	4	4	10	0	29	13	7	9	10	7	20	8	4	29	2	4	4	5	27	19
AN16-120_S1	30	28	34	27	34	29	27	25	25	37	31	34	30	25	27	25	32	30	30	26	31	30	29	0	37	31	32	31	27	34	28	35	30	32	30	35	35	29	31	31	25	27	31	30	31	27	27	32	29	28	31	32	35	25	25	31	29	32	34	28	30	31	28	31	29	25	0	27	29	25	26	30	30
LNA_D3	35	33	39	32	39	34	32	30	30	0	36	39	35	30	32	30	15	35	13	31	36	35	34	37	0	36	15	36	32	39	33	2	35	15	35	2	2	34	36	36	30	32	36	35	36	32	32	15	34	33	36	15	2	30	30	36	34	15	39	33	35	36	33	36	34	30	37	32	34	30	31	13	35
FL16-06_I	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN17-38_T2	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
AN16-135_S	21	9	15	8	15	10	8	6	6	36	12	15	1	6	8	6	31	21	29	7	12	21	10	31	36	22	31	0	8	15	9	34	21	31	1	34	34	10	22	22	6	8	0	11	22	8	8	31	10	9	22	31	34	6	6	12	10	31	15	9	1	12	9	22	10	6	31	8	10	6	7	29	21
AN16-23_B	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
LNA-2_T1	24	12	0	11	0	13	11	9	9	39	15	0	14	9	11	9	34	24	32	10	15	24	13	34	39	25	34	15	11	0	12	37	24	34	14	37	37	13	25	25	9	11	15	14	25	11	11	34	13	12	25	34	37	9	9	15	13	34	0	12	14	15	12	25	13	9	34	11	13	9	10	32	24
AN16-164_S3	18	6	12	5	12	7	5	3	3	33	9	12	8	3	5	3	28	18	26	4	9	18	7	28	33	19	28	9	5	12	0	31	18	28	8	31	31	7	19	19	3	5	9	8	19	5	5	28	7	0	19	28	31	3	3	9	7	28	12	6	8	9	6	19	7	3	28	5	7	3	4	26	18
AN16-109_D2	33	31	37	30	37	32	30	28	28	2	34	37	33	28	30	28	13	33	11	29	34	33	32	35	2	34	13	34	30	37	31	0	33	13	33	0	0	32	34	34	28	30	34	33	34	30	30	13	32	31	34	13	0	28	28	34	32	13	37	31	33	34	31	34	32	28	35	30	32	28	29	11	33
AN16-122_T2	0	18	24	17	24	19	17	15	15	35	21	24	20	15	17	15	30	0	28	16	21	0	19	30	35	7	30	21	17	24	18	33	0	30	20	33	33	19	7	7	15	17	21	20	7	17	17	30	19	18	7	30	33	15	15	21	19	30	24	18	20	21	18	7	19	15	30	17	19	15	16	28	0
AN16-160_D1	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
AN16-83_T1	20	8	14	7	14	9	7	5	5	35	11	14	0	5	7	5	30	20	28	6	11	20	9	30	35	21	30	1	7	14	8	33	20	30	0	33	33	9	21	21	5	7	1	10	21	7	7	30	9	8	21	30	33	5	5	11	9	30	14	8	0	11	8	21	9	5	30	7	9	5	6	28	20
LNA-1_T	33	31	37	30	37	32	30	28	28	2	34	37	33	28	30	28	13	33	11	29	34	33	32	35	2	34	13	34	30	37	31	0	33	13	33	0	0	32	34	34	28	30	34	33	34	30	30	13	32	31	34	13	0	28	28	34	32	13	37	31	33	34	31	34	32	28	35	30	32	28	29	11	33
LNA_D1	33	31	37	30	37	32	30	28	28	2	34	37	33	28	30	28	13	33	11	29	34	33	32	35	2	34	13	34	30	37	31	0	33	13	33	0	0	32	34	34	28	30	34	33	34	30	30	13	32	31	34	13	0	28	28	34	32	13	37	31	33	34	31	34	32	28	35	30	32	28	29	11	33
AN16-132_I	19	7	13	6	13	8	6	4	4	34	10	13	9	4	6	4	29	19	27	5	10	19	8	29	34	20	29	10	6	13	7	32	19	29	9	32	32	0	20	20	4	6	10	9	20	6	6	29	0	7	20	29	32	4	4	10	8	29	13	7	9	10	7	20	0	4	29	6	8	4	5	27	19
AN16-14_S1	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN16-24_D	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN16-135_T1	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-23_D1	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-83_D	21	9	15	8	15	10	8	6	6	36	12	15	1	6	8	6	31	21	29	7	12	21	10	31	36	22	31	0	8	15	9	34	21	31	1	34	34	10	22	22	6	8	0	11	22	8	8	31	10	9	22	31	34	6	6	12	10	31	15	9	1	12	9	22	10	6	31	8	10	6	7	29	21
AN16-175_T	20	8	14	7	14	9	7	5	5	35	9	14	10	5	7	5	30	20	28	6	11	20	9	30	35	21	30	11	7	14	8	33	20	30	10	33	33	9	21	21	5	7	11	0	21	7	7	30	9	8	21	30	33	5	5	11	9	30	14	8	10	9	8	21	9	5	30	7	9	5	6	28	20
AN16-80_I1	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN16-14_D2	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
FL16-03_I	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-149_B	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
AN16-88_D	19	7	13	6	13	8	6	4	4	34	10	13	9	4	6	4	29	19	27	5	10	19	8	29	34	20	29	10	6	13	7	32	19	29	9	32	32	0	20	20	4	6	10	9	20	6	6	29	0	7	20	29	32	4	4	10	8	29	13	7	9	10	7	20	0	4	29	6	8	4	5	27	19
AN16-164_S1	18	6	12	5	12	7	5	3	3	33	9	12	8	3	5	3	28	18	26	4	9	18	7	28	33	19	28	9	5	12	0	31	18	28	8	31	31	7	19	19	3	5	9	8	19	5	5	28	7	0	19	28	31	3	3	9	7	28	12	6	8	9	6	19	7	3	28	5	7	3	4	26	18
AN16-24_T	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN16-80_S	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
AN16-120_B	33	31	37	30	37	32	30	28	28	2	34	37	33	28	30	28	13	33	11	29	34	33	32	35	2	34	13	34	30	37	31	0	33	13	33	0	0	32	34	34	28	30	34	33	34	30	30	13	32	31	34	13	0	28	28	34	32	13	37	31	33	34	31	34	32	28	35	30	32	28	29	11	33
AN16-135_I	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-155_S	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN17-01-A_B	21	9	15	8	15	10	8	6	6	36	12	15	11	6	8	6	31	21	29	7	0	21	10	31	36	22	31	12	8	15	9	34	21	31	11	34	34	10	22	22	6	8	12	11	22	8	8	31	10	9	22	31	34	6	6	0	10	31	15	9	11	12	9	22	10	6	31	8	10	6	7	29	21
AN17-18_S	19	7	13	2	13	4	2	4	4	34	10	13	9	4	2	4	29	19	27	5	10	19	0	29	34	20	29	10	2	13	7	32	19	29	9	32	32	8	20	20	4	2	10	9	20	2	2	29	8	7	20	29	32	4	4	10	0	29	13	7	9	10	7	20	8	4	29	2	4	4	5	27	19
AN16-24_S1	30	28	34	27	34	29	27	25	25	15	31	34	30	25	27	25	0	30	4	26	31	30	29	32	15	31	0	31	27	34	28	13	30	0	30	13	13	29	31	31	25	27	31	30	31	27	27	0	29	28	31	0	13	25	25	31	29	0	34	28	30	31	28	31	29	25	32	27	29	25	26	4	30
LNA-2_T2	24	12	0	11	0	13	11	9	9	39	15	0	14	9	11	9	34	24	32	10	15	24	13	34	39	25	34	15	11	0	12	37	24	34	14	37	37	13	25	25	9	11	15	14	25	11	11	34	13	12	25	34	37	9	9	15	13	34	0	12	14	15	12	25	13	9	34	11	13	9	10	32	24
AN16-171_B	18	6	12	5	12	7	5	3	3	33	9	12	8	3	5	3	28	18	26	4	9	18	7	28	33	19	28	9	5	12	6	31	18	28	8	31	31	7	19	19	3	5	9	8	19	5	5	28	7	6	19	28	31	3	3	9	7	28	12	0	8	9	6	19	7	3	28	5	7	3	4	26	18
AN16-109_D1	20	8	14	7	14	9	7	5	5	35	11	14	0	5	7	5	30	20	28	6	11	20	9	30	35	21	30	1	7	14	8	33	20	30	0	33	33	9	21	21	5	7	1	10	21	7	7	30	9	8	21	30	33	5	5	11	9	30	14	8	0	11	8	21	9	5	30	7	9	5	6	28	20
AN16-122_T1	21	9	15	8	15	10	8	6	6	36	0	15	11	6	8	6	31	21	29	7	12	21	10	31	36	22	31	12	8	15	9	34	21	31	11	34	34	10	22	22	6	8	12	9	22	8	8	31	10	9	22	31	34	6	6	12	10	31	15	9	11	0	9	22	10	6	31	8	10	6	7	29	21
AN16-160_D2	18	0	12	5	12	7	5	3	3	33	9	12	8	3	5	3	28	18	26	4	9	18	7	28	33	19	28	9	5	12	6	31	18	28	8	31	31	7	19	19	3	5	9	8	19	5	5	28	7	6	19	28	31	3	3	9	7	28	12	6	8	9	0	19	7	3	28	5	7	3	4	26	18
FL16-11-MKK_I	7	19	25	18	25	20	18	16	16	36	22	25	21	16	18	16	31	7	29	17	22	7	20	31	36	0	31	22	18	25	19	34	7	31	21	34	34	20	0	0	16	18	22	21	0	18	18	31	20	19	0	31	34	16	16	22	20	31	25	19	21	22	19	0	20	16	31	18	20	16	17	29	7
AN16-132_T	19	7	13	6	13	8	6	4	4	34	10	13	9	4	6	4	29	19	27	5	10	19	8	29	34	20	29	10	6	13	7	32	19	29	9	32	32	0	20	20	4	6	10	9	20	6	6	29	0	7	20	29	32	4	4	10	8	29	13	7	9	10	7	20	0	4	29	6	8	4	5	27	19
AN17-20_S	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN16-120_S2	30	28	34	27	34	29	27	25	25	37	31	34	30	25	27	25	32	30	30	26	31	30	29	0	37	31	32	31	27	34	28	35	30	32	30	35	35	29	31	31	25	27	31	30	31	27	27	32	29	28	31	32	35	25	25	31	29	32	34	28	30	31	28	31	29	25	0	27	29	25	26	30	30
AN17-38_T1	17	5	11	0	11	2	0	2	2	32	8	11	7	2	0	2	27	17	25	3	8	17	2	27	32	18	27	8	0	11	5	30	17	27	7	30	30	6	18	18	2	0	8	7	18	0	0	27	6	5	18	27	30	2	2	8	2	27	11	5	7	8	5	18	6	2	27	0	2	2	3	25	17
AN16-86-1_T	19	7	13	2	13	0	2	4	4	34	10	13	9	4	2	4	29	19	27	5	10	19	4	29	34	20	29	10	2	13	7	32	19	29	9	32	32	8	20	20	4	2	10	9	20	2	2	29	8	7	20	29	32	4	4	10	4	29	13	7	9	10	7	20	8	4	29	2	0	4	5	27	19
AN16-155_B	15	3	9	2	9	4	2	0	0	30	6	9	5	0	2	0	25	15	23	1	6	15	4	25	30	16	25	6	2	9	3	28	15	25	5	28	28	4	16	16	0	2	6	5	16	2	2	25	4	3	16	25	28	0	0	6	4	25	9	3	5	6	3	16	4	0	25	2	4	0	1	23	15
AN17-01-A_S	16	4	10	3	10	5	3	1	1	31	7	10	6	1	3	1	26	16	24	0	7	16	5	26	31	17	26	7	3	10	4	29	16	26	6	29	29	5	17	17	1	3	7	6	17	3	3	26	5	4	17	26	29	1	1	7	5	26	10	4	6	7	4	17	5	1	26	3	5	1	0	24	16
AN16-169_T	28	26	32	25	32	27	25	23	23	13	29	32	28	23	25	23	4	28	0	24	29	28	27	30	13	29	4	29	25	32	26	11	28	4	28	11	11	27	29	29	23	25	29	28	29	25	25	4	27	26	29	4	11	23	23	29	27	4	32	26	28	29	26	29	27	23	30	25	27	23	24	0	28
AN16-110_D1	0	18	24	17	24	19	17	15	15	35	21	24	20	15	17	15	30	0	28	16	21	0	19	30	35	7	30	21	17	24	18	33	0	30	20	33	33	19	7	7	15	17	21	20	7	17	17	30	19	18	7	30	33	15	15	21	19	30	24	18	20	21	18	7	19	15	30	17	19	15	16	28	0
